dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=500,instruct,2,"paraphrase_consistency,mechanistic_intervention_delta_accuracy",458,0.9274,14.914,0.0,1,1
GSM8K n=500,instruct,2,"perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,0.397,5.931,5.6415137006382565e-09,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",500,1.8356,41.736,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_mean,paraphrase_consistency",500,2.1895,45.81,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_mean,perturbation_delta_accuracy",500,2.0361,35.647,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",500,1.7476,41.487,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_slope,paraphrase_consistency",500,2.2159,44.502,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_slope,perturbation_delta_accuracy",500,2.0673,34.982,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",500,1.7719,40.283,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,paraphrase_consistency,perturbation_delta_accuracy",500,2.3752,37.523,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,paraphrase_consistency,mechanistic_intervention_delta_accuracy",500,2.1262,42.123,0.0,1,1
GSM8K n=500,instruct,3,"latency_per_output_token,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",500,1.9718,33.495,0.0,1,1
GSM8K n=500,instruct,3,"token_entropy_mean,token_entropy_slope,paraphrase_consistency",464,1.0695,17.124,0.0,1,1
GSM8K n=500,instruct,3,"token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy",500,0.5722,8.263,1.3322676295501878e-15,1,1
GSM8K n=500,instruct,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.9857,3.98,0.00022723121248202638,1,1
GSM8K n=500,instruct,3,"token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy",500,1.2508,16.008,0.0,1,1
GSM8K n=500,instruct,3,"token_entropy_mean,paraphrase_consistency,mechanistic_intervention_delta_accuracy",464,0.9656,15.897,0.0,1,1
